feature_name,data_type,declared_type,category,description,role,preprocessing,possible_security_meaning,origin,n_unique,n_missing,min,median,mean,std,max,top_values
id,int64,n/a,Identifier,Row identifier added when the partitioned files were created.,Excluded (row identifier),Dropped before modelling.,Row index only. Carries no network semantics and is excluded as a predictor.,UNSW-NB15 (published),175341,0,1.0,64419.0,72811.8239,48929.9176,175341.0,
dur,float64,float,Basic flow,Record total duration,Predictor (numeric),"log1p transform, then standard-scaled (fitted on the training split only).",Session length. Scans and floods are sub-second; exfiltration and C2 beacons persist.,UNSW-NB15 (published),109945,0,0.0,0.0043,1.2467,5.9743,60.0,
proto,object,nominal,Basic flow,Transaction protocol,Predictor (categorical),Lower-cased and stripped; one-hot encoded with categories seen <200x in training folded into an 'infrequent' bucket.,IP/transport protocol. Traffic on unusual protocols often indicates scanning or tunnelling.,UNSW-NB15 (published),133,0,,,,,,"tcp (123,041); udp (92,701); unas (15,599)"
service,object,nominal,Basic flow,"http, ftp, smtp, ssh, dns, ftp-data ,irc and (-) if not much used service",Predictor (categorical),Lower-cased and stripped; one-hot encoded with categories seen <200x in training folded into an 'infrequent' bucket.,"Application protocol identified by the analyser. '-' means unidentified, which is itself suspicious on a monitored network.",UNSW-NB15 (published),13,0,,,,,,"- (141,321); dns (68,661); http (27,011)"
state,object,nominal,Basic flow,"Indicates to the state and its dependent protocol, e.g. ACC, CLO, CON, ECO, ECR, FIN, INT, MAS, PAR, REQ, RST, TST, TXD, URH, URN, and (-) (if not used state)",Predictor (categorical),Lower-cased and stripped; one-hot encoded with categories seen <200x in training folded into an 'infrequent' bucket.,Connection outcome. INT (no reply) dominates scanning; FIN indicates a completed session.,UNSW-NB15 (published),11,0,,,,,,"fin (117,164); int (116,438); con (20,134)"
spkts,int64,integer,Basic flow,Source to destination packet count,Predictor (numeric),"log1p transform, then standard-scaled (fitted on the training split only).",Outbound packet count. High counts with tiny payloads indicate flooding.,UNSW-NB15 (published),646,0,1.0,4.0,19.7771,135.9472,10646.0,
dpkts,int64,integer,Basic flow,Destination to source packet count,Predictor (numeric),"log1p transform, then standard-scaled (fitted on the training split only).",Inbound packet count. Zero means the target never answered.,UNSW-NB15 (published),627,0,0.0,2.0,18.5147,111.986,11018.0,
sbytes,int64,integer,Basic flow,Source to destination transaction bytes,Predictor (numeric),"log1p transform, then standard-scaled (fitted on the training split only).",Outbound volume. The primary signal for data exfiltration.,UNSW-NB15 (published),9382,0,24.0,528.0,8572.9518,173773.8806,14355774.0,
dbytes,int64,integer,Basic flow,Destination to source transaction bytes,Predictor (numeric),"log1p transform, then standard-scaled (fitted on the training split only).",Inbound volume. Large values with small requests can indicate amplification or bulk download.,UNSW-NB15 (published),8653,0,0.0,178.0,14387.2875,146199.2819,14657531.0,
rate,float64,n/a,Basic flow,Flow packet rate (packets/second). Present in the partitioned CSVs but absent from the authors' published feature list; derived from packet count and duration.,Predictor (numeric),"log1p transform, then standard-scaled (fitted on the training split only).",Packets per second. Machine-generated attack traffic sustains rates a human session never reaches.,UNSW-NB15 (published),115763,0,0.0,2955.6649,91253.9124,160344.6367,1000000.003,
